Target Name,latitude,longitude,count_GT200_soundings,count_all,SAM_success_rate
fossil_Bucharest_Romania,44.43429000000003,26.10298000000006,108.0,189.0,0.5714285714285714
fossil_Maracaibo_Venezuela,10.68769000000003,-71.59756999999996,66.0,123.0,0.5365853658536586
fossil_Lahore_Pakistan,31.54972000000004,74.34361000000007,59.0,84.0,0.7023809523809523
fossil_Budapest_Hungary,47.49972000000008,19.05508000000003,106.0,175.0,0.6057142857142858
fossil_Ashgabat_Turkmenistan,37.95000000000005,58.38333000000006,107.0,127.0,0.84251968503937
fossil_Brussels_Belgium,50.84439000000003,4.356090000000052,25.0,37.0,0.6756756756756757
fossil_Katowice_Poland,50.25641000000007,19.03105000000005,140.0,316.0,0.4430379746835443
fossil_Kuybyskev_Russia,53.20006000000006,50.15000000000003,0.0,0.0,0.0
fossil_Karachi_Pakistan,24.90560000000005,67.08220000000006,58.0,85.0,0.6823529411764706
fossil_Lagos_Nigeria,6.454710000000034,3.388760000000048,22.0,147.0,0.14965986394557823
fossil_Luanda_Angola,-8.81565999999998,13.23288000000002,44.0,140.0,0.3142857142857143
fossil_Peshawar_Pakistan,34.00800000000004,71.57849000000004,82.0,113.0,0.7256637168141593
fossil_Khartoum_Sudan,15.5007,32.5599,110.0,133.0,0.8270676691729323
fossil_Nairobi_Kenya,-1.2921,36.8219,90.0,146.0,0.6164383561643836
fossil_Miller_Power_Plant_USA,33.64,-87.12,23.0,44.0,0.5227272727272727
fossil_Tutuka_and_Majuba_Powerplant,-26.95,29.56,40.0,53.0,0.7547169811320755
fossil_Janschwalde_Germany,51.62,14.5,16.0,29.0,0.5517241379310345
fossil_Colstrip_powerplant,45.8816,-106.611,108.0,194.0,0.5567010309278351
fossil_Monroe_powerplant,41.895,-83.342,2.0,5.0,0.4
fossil_Comanche_powerplant,38.2,-104.579787,133.0,169.0,0.7869822485207101
fossil_Sammis_Cardinal_Mansfield_powerplants,40.415,-80.56,5.0,7.0,0.7142857142857143
fossil_Keystone_HomerCity_Conemaugh_Powerplants,40.513,-79.194,5.0,12.0,0.4166666666666667
fossil_Bowen_powerplant,34.124,-84.922,4.0,12.0,0.3333333333333333
fossil_Scherer_powerplant,33.061,-83.81,37.0,65.0,0.5692307692307692
fossil_Boundary_Dam_powerplant,49.09606,-103.0305,122.0,203.0,0.6009852216748769
fossil_Sheerness_powerplant,51.5317,-111.7861,81.0,113.0,0.7168141592920354
fossil_Dofasco_powerplant,43.2597,-79.8111,4.0,9.0,0.4444444444444444
fossil_Belchatow_powerplant,51.268,19.331,124.0,241.0,0.5145228215767634
fossil_Dangjin_Yonghungdo_Taean_powerplants,37.057,126.511,2.0,6.0,0.3333333333333333
fossil_Shaiba_powerplant,20.66267,39.5551,18.0,21.0,0.8571428571428571
fossil_AlQurayyah_powerplant,25.844,50.126,8.0,10.0,0.8
fossil_Arnot_Duvha_Hendrina_powerplants,-26.0331,29.611,6.0,11.0,0.5454545454545454
fossil_Duvha_Kendal_Kriel_Matla_powerplants,-25.878083,29.175447,40.0,48.0,0.8333333333333334
fossil_Vindhyachal_Sasan_Singrauli_Rihand_powerplants,24.09722,82.67361,52.0,86.0,0.6046511627906976
fossil_Pingwei_Tianji_Bengbu_Fengtai_Luohe_powerplants,32.68613,116.9005,2.0,5.0,0.4
